"","Experiment.Group","Experiment.Time","sex","Groups"
"X90585","Training","2","1","  weeks"
"X90576","Training","2","1","  weeks"
"X90560","Training","1","1","  weeks"
"X90581","Training","2","1","  weeks"
"X90559","Training","1","1","  weeks"
"X90567","Training","1","1","  weeks"
"X90578","Training","2","1","  weeks"
"X90564","Training","1","1","  weeks"
"X90571","Training","1","1","  weeks"
"X90587","Training","2","1","  weeks"
"X90252","Control","8","1","  weeks"
"X90265","Control","8","1","  weeks"
"X90439","Training","2","2","  weeks"
"X90292","Training","4","2","  weeks"
"X90416","Training","4","1","  weeks"
"X90280","Training","4","2","  weeks"
"X90283","Training","4","2","  weeks"
"X90441","Training","2","2","  weeks"
"X90289","Training","4","2","  weeks"
"X90281","Training","4","2","  weeks"
"X90422","Training","1","2","  weeks"
"X90420","Training","4","1","  weeks"
"X90423","Training","1","2","  weeks"
"X90412","Training","4","1","  weeks"
"X90410","Training","4","1","  weeks"
"X90406","Training","4","1","  weeks"
"X90430","Training","1","2","  weeks"
"X90449","Training","2","2","  weeks"
"X90450","Training","2","2","  weeks"
"X90421","Training","1","2","  weeks"
"X90444","Training","2","2","  weeks"
"X90426","Training","1","2","  weeks"
"X90245","Control","8","1","  weeks"
"X90229","Control","8","2","  weeks"
"X90267","Training","8","1","  weeks"
"X90248","Control","8","1","  weeks"
"X90225","Training","8","2","  weeks"
"X90259","Training","8","1","  weeks"
"X90227","Training","8","2","  weeks"
"X90239","Control","8","2","  weeks"
"X90258","Training","8","1","  weeks"
"X90266","Control","8","1","  weeks"
"X90218","Training","8","2","  weeks"
"X90223","Training","8","2","  weeks"
"X90237","Control","8","2","  weeks"
"X90232","Control","8","2","  weeks"
"X90222","Training","8","2","  weeks"
"X90251","Training","8","1","  weeks"
"X90254","Training","8","1","  weeks"
"X90217","Control","8","2","  weeks"
