"Experiment Group","Experiment Time","sex","GroupTime"
"Training","2","1","Training 2"
"Training","2","1","Training 2"
"Training","1","1","Training 1"
"Training","2","1","Training 2"
"Training","1","1","Training 1"
"Training","1","1","Training 1"
"Training","2","1","Training 2"
"Training","1","1","Training 1"
"Training","1","1","Training 1"
"Training","2","1","Training 2"
"Control","8","1","Control 8"
"Control","8","1","Control 8"
"Training","2","2","Training 2"
"Training","4","2","Training 4"
"Training","4","1","Training 4"
"Training","4","2","Training 4"
"Training","4","2","Training 4"
"Training","2","2","Training 2"
"Training","4","2","Training 4"
"Training","4","2","Training 4"
"Training","1","2","Training 1"
"Training","4","1","Training 4"
"Training","1","2","Training 1"
"Training","4","1","Training 4"
"Training","4","1","Training 4"
"Training","4","1","Training 4"
"Training","1","2","Training 1"
"Training","2","2","Training 2"
"Training","2","2","Training 2"
"Training","1","2","Training 1"
"Training","2","2","Training 2"
"Training","1","2","Training 1"
"Control","8","1","Control 8"
"Control","8","2","Control 8"
"Training","8","1","Training 8"
"Control","8","1","Control 8"
"Training","8","2","Training 8"
"Training","8","1","Training 8"
"Training","8","2","Training 8"
"Control","8","2","Control 8"
"Training","8","1","Training 8"
"Control","8","1","Control 8"
"Training","8","2","Training 8"
"Training","8","2","Training 8"
"Control","8","2","Control 8"
"Control","8","2","Control 8"
"Training","8","2","Training 8"
"Training","8","1","Training 8"
"Training","8","1","Training 8"
"Control","8","2","Control 8"
